Title,Authors,Venue,Year,Abstract,Citations,URL
Reinforce++: A simple and efficient approach for aligning large language models,"J Hu - arXiv preprint arXiv:2501.03262, 2025",researchgate.net,Year not found,"ABSTRACT Reinforcement Learning from Human Feedback (RLHF) has emerged as a critical approach for aligning large language models with human preferences, witnessing …",67,https://www.researchgate.net/profile/Jian-Hu-33/publication/387487679_REINFORCE_A_SIMPLE_AND_EFFICIENT_APPROACH_FOR_ALIGNING_LARGE_LANGUAGE_MODELS/links/6780e36818faf13f0c3de3d1/REINFORCE-A-SIMPLE-AND-EFFICIENT-APPROACH-FOR-ALIGNING-LARGE-LANGUAGE-MODELS.pdf
Large language model-brained gui agents: A survey,"C Zhang, S He, J Qian, B Li, L Li, S Qin, Y Kang… - arXiv preprint arXiv …, 2024",arxiv.org,2024,"GUIs have long been central to human-computer interaction, providing an intuitive and visually-driven way to access and interact with digital systems. The advent of LLMs …",38,https://arxiv.org/abs/2411.18279
Safechain: Safety of language models with long chain-of-thought reasoning capabilities,"F Jiang, Z Xu, Y Li, L Niu, Z Xiang, B Li, BY Lin… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Emerging large reasoning models (LRMs), such as DeepSeek-R1 models, leverage long chain-of-thought (CoT) reasoning to generate structured intermediate steps, enhancing their …",26,https://arxiv.org/abs/2502.12025
Visualprm: An effective process reward model for multimodal reasoning,"W Wang, Z Gao, L Chen, Z Chen, J Zhu, X Zhao… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"We introduce VisualPRM, an advanced multimodal Process Reward Model (PRM) with 8B parameters, which improves the reasoning abilities of existing Multimodal Large Language …",23,https://arxiv.org/abs/2503.10291
Medvlm-r1: Incentivizing medical reasoning capability of vision-language models (vlms) via reinforcement learning,"J Pan, C Liu, J Wu, F Liu, J Zhu, HB Li, C Chen… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Reasoning is a critical frontier for advancing medical image analysis, where transparency and trustworthiness play a central role in both clinician trust and regulatory approval …",30,https://arxiv.org/abs/2502.19634
Chain of draft: Thinking faster by writing less,"S Xu, W Xie, L Zhao, P He - arXiv preprint arXiv:2502.18600, 2025",arxiv.org,Year not found,Large Language Models (LLMs) have demonstrated remarkable performance in solving complex reasoning tasks through mechanisms like Chain-of-Thought (CoT) prompting …,57,https://arxiv.org/abs/2502.18600
Ttrl: Test-time reinforcement learning,"Y Zuo, K Zhang, S Qu, L Sheng, X Zhu, B Qi… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,This paper investigates Reinforcement Learning (RL) on data without explicit labels for reasoning tasks in Large Language Models (LLMs). The core challenge of the problem is …,22,https://arxiv.org/abs/2504.16084
Video-r1: Reinforcing video reasoning in mllms,"K Feng, K Gong, B Li, Z Guo, Y Wang, T Peng… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Inspired by DeepSeek-R1's success in eliciting reasoning abilities through rule-based reinforcement learning (RL), we introduce Video-R1 as the first attempt to systematically …",24,https://arxiv.org/abs/2503.21776
Deepresearcher: Scaling deep research via reinforcement learning in real-world environments,"Y Zheng, D Fu, X Hu, X Cai, L Ye, P Lu… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Large Language Models (LLMs) equipped with web search capabilities have demonstrated impressive potential for deep research tasks. However, current approaches predominantly …",22,https://arxiv.org/abs/2504.03160
Self-training elicits concise reasoning in large language models,"T Munkhbat, N Ho, SH Kim, Y Yang, Y Kim… - arXiv preprint arXiv …, 2025",arxiv.org,Year not found,"Chain-of-thought (CoT) reasoning has enabled large language models (LLMs) to utilize additional computation through intermediate tokens to solve complex tasks. However, we …",24,https://arxiv.org/abs/2502.20122
